name,price,status,shipping,free_returns,items_sold
Shop on eBay,2000,Brand New,,False,
Shop on eBay,2000,Brand New,,False,
Trader Joe's Pastel Mini Canvas Tote Bags 2025 LIMITED EDITION NWT LOT OF 4,6000,Brand New,1000,False,0
Exclusive Luxury Designer Crossbody Shoulder Bags & Handbags for Women (2025),2900,Brand New,0,False,15
PUMA Women's Lush Tote Bag,1599,Brand New,0,True,0
PRADA Logo Hand Bag Tote Beige Purple Canvas Leather,16700,Pre-Owned,0,False,
Exclusive Luxury Designer Crossbody Shoulder Bags & Handbags for Women (2025),2900,Brand New,0,False,15
PUMA Women's Lush Tote Bag,1899,Brand New,0,False,0
Trader Joe's Pastel Mini Canvas Tote Bags 2025 LIMITED EDITION NWT LOT OF 4,6000,Brand New,1000,False,0
Women's Cute Black Cat Chest Bag Simple Printed Shoulder Crossbody Bag New,1399,Brand New,565,False,31
Dior Beauty Raffia Clutch  ,4490,Brand New,580,False,45
Lululemon Black Silver Everywhere 1L Unisex Belt Bag Sports Running,2190,Brand New,0,False,0
Waterproof Messenger Cross Body Ladies Handbag Shoulder Bag Womens Large Purse,1486,Brand New,0,True,0
Concealed Carry Hobo Crossbody Purse Leather Shoulder Bag Women Handbag Wallet,999,Brand New,0,True,298
Michael Kors Women Lady Fashion Crossbody Messenger Shoulder Bag Handbag Purse,5879,Brand New,0,True,0
vintage GUCCI GG Supreme shoulder bag PVC leather brown authentic #268,24999,Pre-Owned,2500,True,
PUMA Women's Puffer Mini Tote Bag,3500,Brand New,0,True,0
Giani Bernini Shoulder Handbag Nappa Leather Dark Taupe Gold Accent Classic Bag,6000,Pre-Owned,1258,False,
Michael Kors Leather or PVC Crossbody Bag Handbag Messenger Shoulder Purse Bag,5600,Brand New,0,True,0
"Women Leather Bucket Bag, Stylish Snake Print, Tote, Large Capacity Handbag",11800,Brand New,1400,False,
Chanel purse authentic,525000,Pre-Owned,1258,False,0
ETUDE handbags summer new bow lady shoulder bag,3299,Brand New,228,False,
[Masmarulez] Korean Rabbit Eco Shoulder Bag Musinsa Edition,3799,Brand New,0,False,0
TIMMMY WOODS Rare Signed Easter Basket Purse,32500,Pre-Owned,0,False,
Yves Saint Laurent Tote Bag Black Gold Embroidery Logo YSL Novelty New,3279,New (Other),0,True,0
Women Lady Fashion Crossbody Sling Bag Backpack Chest Bag Daypack Outdoor Sports,1099,Brand New,199,True,
NEW Waterproof Messenger Cross Body Ladies Handbag Bag Shoulder Bag Womens Purse,684,Brand New,0,True,0
Dooney & Bourke Pebble Grain Crossbody Hobo,16500,Brand New,0,False,0
Dior Beauty Raffia Clutch  ,4490,Brand New,580,False,0
Dooney & Bourke Wayfarer Domed Crossbody,4900,Brand New,0,False,0
Waterproof Messenger Cross Body Ladies Handbag Bag Shoulder Bag Women Purse ,1395,Brand New,0,True,120
Leather Luxury Handbags Women Designer Shoulder Crossbody Bags Purses,2699,Brand New,0,False,0
Michael Kors Mercer XS Logo & Leather Crossbody Bag Black,5495,Brand New,0,True,0
Women's Cute Black Cat Chest Bag Simple Printed Shoulder Crossbody Bag New,1399,Brand New,,False,0
Kate Spade Leila Medium Triple Compartment Satchel crossbody Bag WKR00335 $379,8995,Brand New,0,False,0
Women's Bag Large Capacity Tote Daily Commute Women's Shoulder Bag Handbag,2085,Brand New,0,True,0
UNIQLO U Drawstring Shoulder Bag Pink Unisex 2023 NEW U.S. Seller,3499,Brand New,0,False,0
Telfar Unisex Large Shopping Bag - Black,14950,Brand New,1258,False,
FAIRYSAN Women's Straw Beach Bag Crossbody Bag,2499,Brand New,0,False,
ZAC Posen Eartha Leather Barrel Satchel ,34900,Pre-Owned,1624,False,
Bag,5000,Brand New,1014,False,
Michael Kors Mirella Medium Metallic Black Jacquard MK Logo Signature Tote Bag,7755,Brand New,0,True,0
Luxury Soft Leather Designer Shoulder Bags Women Crossbody Vintage Messenger Sac,2999,Brand New,0,False,0
New Mario Valentino Crossbody  Shoulder Bag Handbag  Authentic ,15900,Brand New,1895,False,
MICHAEL KORS JAYCEE MEDIUM ZIP POCKET BACKPACK BAG Brown,8755,Brand New,0,True,370
Dooney & Bourke It Lunch Bag,4900,Brand New,0,False,0
Xiaomi Business Shoulder Bag Shoulder Backpack Computer Bag,4990,Brand New,0,False,0
Valentino Clutch Bag Rockstuds Black Used,57099,Pre-Owned,3500,True,0
2025 Luxury Designer Leather Shoulder Bag Women High Quality Crossbody Purses,3699,Brand New,0,False,
Dakine Jive Shoulder Bag - Women's,1250,Brand New,0,False,
Coach Handbag,4500,Pre-Owned,1400,False,
Women Messenger Cross Body Bag Sling Shoulder Holiday Travel Handbag Bags Wallet,1115,Brand New,0,False,0
NWT Lululemon Everywhere Black Belt Bag 1L Water-Repellent Mini Crossbody Purse,2782,Brand New,592,True,0
Waterproof Messenger Cross Body Ladies Handbag Bag Shoulder Bag Women Purse,1370,Brand New,0,False,24
Dooney & Bourke Chevron Bitsy Bag,13900,Brand New,0,False,0
light blue denim crossbody shoulder bag,2499,Brand New,,False,0
Dooney & Bourke Gretta Katie Crossbody,5500,Brand New,0,False,0
EHM Stadium Approved Clear Bag for Women Men Work Concert Football Crossbody Bag,899,New (Other),0,False,0
adidas Originals x FARM Rio Bowing Bag Women's Casual Fashion Bag Green IY2337,7461,Brand New,0,False,0
The Sak Back to Bali Convertible Crossbody 109018 NEW Limited Edition Hand Made,2920,Brand New,,False,300
NWT KATE SPADE Perry Strawberry Vine Printed Bag Purse x-body Cream Multi RT$239,11500,Brand New,805,False,
kate spade new york Leila Medium triple Compartment Shoulder Bag -  Beige,13500,Brand New,650,False,
"WANDER PLUS Anti Theft Crossbody Bag, Shoulder Bag - black (or charcoal gray)",2499,Brand New,0,False,0
Dooney & Bourke Sullivan Bitsy Bag,12500,Brand New,0,False,0
Real Leather Shoulder Bag Handbag Purse Cross Body Organizer Smart Phone Pockets,1695,Brand New,0,True,0
2025 TORYBURCH Handbag Bag W/box Black Purse Pebble Pattern Fashion !!,4900,Brand New,800,False,0
ROMA LEATHER CONCEALED CARRY VERSATILE LOCK & KEY COMPACT CROSSBODY BAG,3995,Brand New,0,False,0
The Sak Linden Crossbody Bag 109467 NEW with Tag From Recycled Materials,2000,Brand New,,False,0
2x Clear PVC Tote Bag Women Large Transparent Handbag Zip Purse Stadium Security,895,Brand New,0,False,
Travelon Women's Anti-Theft Double-Zip Crossbody Bag - Geo Sunflower,2999,Brand New,0,False,0
Crossi New York Bow Shoulder Handbag Detachable Strap Gray Purse Pocketbook,1495,Pre-Owned,,False,0
Dooney & Bourke Florentine Brinley,12999,Brand New,0,False,0
PUMA Women's Cross Mini Grip Bag 3.0 Metallic Size OSFA,2599,Brand New,0,True,0
Brand New Michael Kors Charlotte Top Zip Tote Saffiano Leather Shoulder Bag,6900,Brand New,0,False,0
Dooney & Bourke Florentine Satchel 30,24500,Brand New,0,False,0
STAND OIL Chubby bag Black Women's Shoulder Bag - Tracking,13727,Brand New,0,False,55
Chanel Gold Metallic Bag ,25700,Pre-Owned,451,False,
Foundational Weekender Bag - Universal Thread Taupe,1709,New (Other),0,True,0
JUDITH LEIBER Amethyst Crystal Jeweled Rectangle Hardware Evening Clutch/Bag,63300,Brand New,1258,False,0
LeSportsac X My Neighbor Totoro Studio Ghibli Crossbody Bag Small,5900,Brand New,0,False,0
Shop on eBay,2000,Brand New,,False,
Shop on eBay,2000,Brand New,,False,
Dooney & Bourke Pebble Grain Logo Lock Shoulder Bag with Pouch,21900,Brand New,0,False,0
Backpack Made With Hemp And THC Free Multiple Designs,1999,Brand New,0,False,
"Peace Cycle Tote, 15x15x8 multiple colors",2500,Brand New,871,False,
New Mickey Mouse Rattan Straw Crossbody Bag with Strap,2998,New (Other),0,False,0
Chanel Gold Metallic Bag ,25700,Pre-Owned,451,False,0
Foundational Weekender Bag - Universal Thread Taupe,1709,New (Other),0,True,0
Tory Burch Eleanor Small Convertible Chain Women's Leather Shoulder Bag Black,15499,Brand New,0,False,0
Dooney & Bourke Florentine Ridley,13399,Brand New,0,False,0
Vera Bradley Vera Tote Bag - MULTIPLE PATTERNS - NWT,8999,Brand New,799,False,
Waterproof Messenger Cross Body Ladies Handbag Shoulder Bag Womens Large Purse,1563,Brand New,0,False,0
Beautiful NWTs ,2500,Brand New,767,False,
Womens Crescent Crossbody Bag Sling Shoulder Bag Purse Casual Dumpling Bag Gift,783,Brand New,199,True,
Georgy Gina & Lucy Bag Black,10000,Pre-Owned,2000,False,
Giuseppe Zanotti light Gray logo satchel  with silver Buckle Detail,29999,Pre-Owned,2000,False,0
LeSportsac X My Neighbor Totoro Studio Ghibli Backpack Bag,9900,Brand New,0,False,0
BRIGHTON SMALL HANDBAG PINK CROC LEATHER STYLE SHOULDER BAG HEART DESIGN EUC,3200,Pre-Owned,1171,False,0
Marshal Leather Women Travel Cross Body Bag Shoulder Bag 5 Pocket Organizer Hand,1099,Brand New,0,True,0
Dooney & Bourke handbag,8200,Pre-Owned,1171,False,
Prada Duet Re-Nylon shoulder bag Cocoa Designer In EXCELLENT CONDITION!,97500,Pre-Owned,822,False,0
Victoria’s Secrets Tote Bag & Crossbody Pink Purse. ,2300,Pre-Owned,1101,False,
adidas women adidas by Stella McCartney Tote,5600,Brand New,0,True,0
Coach Black Duffle Bag With Pebbled Leather & Shoulder Strap,19999,Pre-Owned,2499,False,
"Small Crossbody Bags for Women Men, Waterproof Mini Crossbody Fanny Pack with Fr",2329,Brand New,0,True,
Loungefly Pua Crossbody,10000,Brand New,898,False,
