name,price,status,shipping,free_returns,items_sold
Shop on eBay,2000,Brand New,,False,
Shop on eBay,2000,Brand New,,False,
Elegant 925 Sterling Silver Stick Ear Studs Earrings Men Women Christmas Gift,399,Brand New,0,False,
"Natural fire opal beaded necklace for women, Vintage fire opal beaded jewelry",3330,Brand New,0,True,
100pcs Mixed Natural Stone Hollow Flower Pendant DIY Jewelry Making 30mm,17999,New (Other),0,True,
Exclusive Silver Cross Pendant with Red Gemstone - Stylish Accessory for Any Occ,15000,Brand New,0,False,0
1/2 Pound Vintage To Modern FASHION JEWELRY Lot All Wearable!! READ DESCRIPTION,2599,Pre-Owned,580,False,0
"925 Silver Chain Baby's Breath Snake Square Women Jewelry Necklace 16-24""",99,Brand New,0,False,522
Real SILVER Unique Jewelry SOLID 925 Sterling Silver Chain Necklace Made Italy,699,Brand New,0,True,1018
Jewelry Lot All Good Wear Resell Brooch Art Estate Vintage Modern 1 lb Lot,2750,Pre-Owned,939,False,0
Vintage Estate Now Jewelry Lot 5 pieces NO junk SILVER AND GOLD TONE,3400,Pre-Owned,0,False,219
Vintage-Now Mystery Jewelry Jar- All Wearable - No Junk,1690,Pre-Owned,735,False,0
100pcs Mixed Rings Wholesale Lot Bulk Finger Band Rings for Men Women Jewelry,1279,Brand New,0,False,0
Copper Blue Turquoise Gemstone Electroformed Anniversary Chain Necklace Copper,3450,New (Other),0,True,83
Gold Plated Wedding Jewelry Set Luxury Unique Women Dubai Vintage,13500,Brand New,0,False,
"Chrysocolla Wire Wrapped Tree Of Life Pendant Copper Jewelry For Women 2.76""",2280,New (Other),0,True,183
Liquid Crystal Necklace 1970s Vintage Jewelry. ,2750,New (Other),451,False,0
"Women Day Sale Milky Opal Rough Copper Wire Wrapped Pendant For Girls 3.07""",2430,New (Other),0,True,85
Simple Silver Gold Plated Cross Pendant Necklace Women Men's Jewelry Gift,99,Brand New,0,False,71
Womens Ring Silver Ring Wedding Party Jewelry Ring Rng Fashion Crystal Rings,112,New (Other),0,True,201
Fashion 925 Silver Ring Women Jewelry Simulated Blue Sapphire  Wedding Ring 6-10,294,New (Other),0,False,220
Simple Silver Gold Plated Cross Pendant Necklace Women Men's Jewelry Gift,70,Brand New,0,False,821
"1 + Lb Jewelry Vintage To Modern Lot Wearable, Craft, Junk Resell Mix",2000,Pre-Owned,0,False,0
Fashion Heart Silver Plated Ear Earrings Stud Women Wedding Party Jewelry Gift,84,Brand New,0,False,95
1pcs Man Alloy Cross Pendant Necklace Inlaid with Zircon Jewelry,499,Brand New,0,False,0
Fashion Crystal Rose Flower Knuckle Ring Open Zircon Women Adjustable Jewelry,94,Brand New,0,False,142
Stainless Steel Band Ring Fashion Jewelry Womens Mens Size 5/6/7/8/9/10/11/12/13,70,New (Other),0,True,169
"Womens Earrings Drop Fashion Love Heart Crystal Dangle Ear Jewelry Gifts ~ , *",70,Brand New,0,False,392
925 Silver Retro Frog Cat Owl Animal Rings Open Finger Ring Jewelry Adjustable,98,New (Other),0,False,180
925 Silver Green Turquoise Bird Drop Dangle Women Girl Earrings Party Jewelry ,175,New (Other),0,True,80
"Labradorite Wire Wrapped Pendant Handcrafted Copper Ethnic Gift 3.07""",2048,New (Other),0,True,224
"Rainbow Moonstone Jewelry Copper Love Gift Wire Wrapped Chain Necklace 18.0""",3600,New (Other),0,True,227
"Labradorite Gemstone Jewelry Copper Gift For Love Wire Wrapped Star Pendant 2.2""",2640,New (Other),0,True,52
Tioneer Mother Mary 14K Gold Plated Steel Pendant with 24 inch Box Chain,1400,Brand New,0,False,0
Vintage to now mixed jewelry craft wear resale up to 20 lbs LFR box full FUN !,6999,Pre-Owned,0,False,0
Black Crystal Gold Plated Flower Earrings Long Dangle Earings Jewelry for Womens,140,New (Other),0,False,68
Gorgeous Cubic Zircon 925 Silver Filled Rings Women Jewelry Wedding Gift Sz 6-10,237,Brand New,210,True,364
Fashion 925 Silver Filled Women Ring Cubic Zircon Wedding Jewelry Sz 6-10,191,Brand New,210,True,213
925 Silver Green Turquoise Bird Pendant Chain Necklace Women Girl Jewelry Choker,224,New (Other),0,True,0
Womens Ring Heart Love Silver Rings Jewelry Fashion Jewellery Openwork Wholesale,105,New (Other),0,False,
Teardrop Earrings,6000,Brand New,0,False,0
Chic 14K Gold 5mm Paperclip Bracelet – Modern Side Closure Jewelry Gift New,13988,Brand New,0,True,0
Daisy Sunflower Opened Crystal Pendant Necklace Chain Women Party Jewelry Gift,197,New (Other),0,False,
3/5/7/9/11mm Stainless Steel Silver/Gold Plated Mens Cuban Curb Necklace Chain,699,New (Other),0,True,0
Heavy Stainless Steel Gothic Punk Biker Rings Fashion Mens Skull Jewelry Sz 6-13,210,Brand New,0,False,
6+ Lbs. POUNDS Unsearched Huge Lot Jewelry Vtg-Now Junk Art Craft Treasure Hunt,6800,Pre-Owned,1600,False,197
Elegant 925 Silver Filled Jewelry Stud Earring Women Cubic Zircon Wedding Gift,209,Brand New,210,True,6176
Red Garnet Gemstone Handmade 925 Sterling Silver Jewelry Heart Cut Pendant,1100,New (Other),0,True,435
18k Earings Dangle Drop Gold Purple Tassel Crystal Jewelry Earrings For Womens ,155,New (Other),0,True,178
925 Silver Filled Necklace Pendant Fashion Women Cubic Zircon Wedding Jewelry,188,Brand New,210,True,1137
Fashion Cartoon Braided Devil's Eye Pottery Fish Pendant Necklace Jewelry Gift,82,Brand New,0,False,
Fashion Women Jewelry 925 Silver Filled Ring Cubic Zircon Party Ring Sz 6-10,200,Brand New,210,True,109
Vintage Womens Mens Band Ring Gold Silver Rings Jewelry Size 6/7/8/9/10/11/12/13,70,New (Other),0,True,60
Men Fashion Viking Rings Punk Stainless Steel Ring Party Jewelry Gifts Size 6-13,245,Brand New,0,False,0
Colorful Transparent Acrylic Irregular Marble Pattern Resin Rings Women Jewelry,77,Brand New,0,False,
Women's Jewelry Collarbone Chain Neck Chain Women Necklaces Gift Fashion Elegant,99,Brand New,0,False,
Women Fashion Jewelry Pear Cubic Zircon 925 Silver Filled Necklace Pendant Gift,186,Brand New,210,True,2073
Personalized Name Custom Necklace Stainless Steel Pendant Fashion Jewelry Gift,899,Brand New,0,True,132
10Pcs Wholesale 925 Silver Solid 1MM Snake Chain Necklace Pendant Jewelry Hot,284,New (Other),0,False,
Women's Fashion Jewelry Daisy Flower Choker Necklace 573,1166,Brand New,0,True,0
Fashion Jewelry Cubic Zircon 925 Silver Filled Necklace Pendant Wedding Gift,257,Brand New,210,True,3108
"Elegant 925 Silver Filled,Gold Wedding Rings Women Cubic Zircon Jewelry Sz 6-10",209,Brand New,210,True,124
Fashion Feet Chain Simple Anklet Bracelet Chain Women Jewelry Gift Adjustable,88,New (Other),0,False,73
Gold Plated 18k Earrings Stud Crystal Flower Earrings Jewelry For Womens Girls,140,New (Other),0,True,0
Black Womens Or Mens Band Ring Jewelry Stackable Vintage Rings Rose Gold/silver,70,New (Other),0,True,81
10k 14k 18k 22K 24K Gold Silver Jewelry Test Kit Acid Box Precious Metals Stone,3997,Brand New,0,True,0
Fashion 925 Silver Crystal Butterfly Pendant Necklace Bracelet Women Jewelry New,129,Brand New,0,False,
"Women 925 Silver Filled,Gold Ring Cubic Zircon Jewelry Fashion Gift Sz 6-10",126,Brand New,210,True,153
Fashion 925 Silver Filled Ring Wedding Gifts Women Cubic Zircon Jewelry Sz 6-10,209,New (Other),390,False,
6x Roxanne Assoulin Beads Stackable Stretch Bracelet Chic Women Vacation Jewelry,1699,New (Other),599,False,0
Women Heart Cubic Zircon Fashion Stud Earring Silver Filled Fashion Jewelry Gift,99,Brand New,0,False,
Heavy Strong Men Stainless Steel Curb Cuban Link Chain Necklace Jewelry,579,New (Other),0,False,
5/10Pcs 925 Silver Solid 1MM Snake Chain Necklace For Pendant Jewelry Wholesale,88,New (Other),0,False,
Photo CZ Pendant w/ Custom Picture + Glass Silver Plated Necklace HipHop Jewelry,1199,Brand New,0,True,0
Lots Yellow Gold Plated Chain Necklace for Men Women Pendant Jewelry DIY 16-30'',95,New (Other),0,False,78
Kraft Cotton Filled Gift Boxes Jewelry Cardboard Box Lots of 100~200~500,3217,Brand New,0,True,0
14Kt Gold 3.5 Ct 17-inch Lab Grown Diamond Tennis Necklace,179999,New (Other),0,False,0
"Women's Day Sale Copper Necklace Friend Gift Necklace Adjustable Necklace 18.0""",2790,New (Other),0,True,51
Shop on eBay,2000,Brand New,,False,
Shop on eBay,2000,Brand New,,False,
14K Black Diamond Necklace ,39998,Pre-Owned,0,False,0
Oval Spiny Oyster Copper Turquoise Stone Sterling Silver Chain Bracelet Jewelry,6420,New (Other),0,True,31
"Dragon Bloodstone Jewelry Copper Gift For Mum Wire Wrapped Pendant 2.56""",1950,New (Other),0,True,142
"Rainbow Moonstone Copper Mom Gift Wire Wrapped Tree Of Life Pendant 2.76""",2580,New (Other),0,True,158
Fashion Wedding 925 Silver Filled Necklace Pendant Cubic Zirconia Women Jewelry,239,Brand New,210,True,239
Fashion Pretty Heart 925 Silver Necklace Pendant Clavicle Women Jewelry Gift USA,227,Brand New,0,True,0
"Stainless Steel Rope Chain 2, 3, 4, 5mm   Hip Hop Jewelry Unisex, Men, Women",399,New (Other),0,True,0
Fashion Cross Jewelry Cubic Zircon 925 Silver Filled Necklace Pendant Party Gift,221,Brand New,210,True,2128
18k Earings Dangle Drop Gold Plated Flower Fashion Jewelry Earrings For Womens ,155,New (Other),0,True,0
cat necklace Calico christmas fashion jewelry FAST Free Shipping,1299,New (Other),0,False,0
